Handle,Title,Body (HTML),Vendor,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Weight,Variant Weight Unit,Variant Requires Shipping,Image Src,Variant Barcode,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,product.metafields.custom.unidade,product.metafields.custom.catalogo,product.metafields.custom.dimensoes_do_produto,product.metafields.custom.composicao,product.metafields.custom.capacidade,product.metafields.custom.modo_de_uso,product.metafields.custom.icms,product.metafields.custom.ncm,product.metafields.custom.pis,product.metafields.custom.ipi,product.metafields.custom.cofins,product.metafields.custom.componente_de_kit,product.metafields.custom.resistencia_a_agua,Variant Taxable,Cost per item,Image Position,Variant Image,Product Category,Type,Collection,Status
colar-decorativo-madeira,Colar decorativo em madeira,"Levando requinte e sofisticação ao ambiente, o colar em madeira da Mart é um adorno inovador que acrescenta mais beleza à decoração. Pode ser usado sobre livros, móveis e até mesmo pendurado na parede, unindo criatividade e elegância.",MART,"ADORNOS,2025 CATALOGO ANUAL,LL,NATURAL",TRUE,,Default Title,,,,,15133,45.85,,3,125,g,TRUE,,7908103751337,125,shopify,deny,manual,PC,2025 CATALOGO ANUAL,1.5 x 1.5 x 150,90% MADEIRA + 10% CORDA DE JUTA,,"Devem ficar em áreas cobertas, longe do sol, chuva ou umidade. É indicado para áreas internas. Não utilizar produtos químicos ou abrasivos. Para limpeza é recomendado o uso de pano seco.",0,44201900,0,0,0,FALSE,Não se aplica,TRUE,20.84,,,,,,draft
colar-decorativo-madeira,Colar decorativo em madeira,"Levando requinte e sofisticação ao ambiente, o colar em madeira da Mart é um adorno inovador que acrescenta mais beleza à decoração. Pode ser usado sobre livros, móveis e até mesmo pendurado na parede, unindo criatividade e elegância.",MART,"ADORNOS,2025 CATALOGO ANUAL,LL,NATURAL",TRUE,,Default Title-2,,,,,15130,55.07,,3,160,g,TRUE,,7908103751306,160,shopify,deny,manual,PC,2025 CATALOGO ANUAL,5 x 51 x 5,90% MADEIRA + 10% CORDA DE JUTA,,"Devem ficar em áreas cobertas, longe do sol, chuva ou umidade. É indicado para áreas internas. Não utilizar produtos químicos ou abrasivos. Para limpeza é recomendado o uso de pano seco.",0,44201900,0,0,0,FALSE,Não se aplica,TRUE,25.03,,,,,,draft
copo-ceramica,Copo em ceramica,,MART,"ACESSORIOS DE BANHEIRO,OUTLET 2025,JH,BEGE",TRUE,,,,,,,20616,48.97,,3,280,g,TRUE,,7908103806167,280,shopify,deny,manual,PC,OUTLET 2025,9.5 x 5.5 x 8.5,100% CERAMICA,,"Manter o produto em local seco e arejado. Quedas e batidas podem causar danos irreversíveis. Não utilizar produtos químicos ou abrasivos na limpeza. Para a remoção de sujeiras recomendamos o uso de uma esponja macia umedecida com água e sabão neutro, seguida de um pano seco.",0,69139000,0,13,0,FALSE,Não se aplica,TRUE,22.26,,,,,,draft
copo-cimento,Copo em cimento,,MART,"ACESSORIOS DE BANHEIRO,OUTLET 2025,JH,OFF WHITE",TRUE,,Default Title,,,,,19172,25.48,,6,305,g,TRUE,,7908103791722,305,shopify,deny,manual,PC,OUTLET 2025,9 x 7 x 8,100% CIMENTO,,"Manter o produto em local seco e arejado. Quedas e batidas podem causar danos irreversíveis. Não utilizar produtos químicos ou abrasivos na limpeza. Para a remoção de sujeiras recomendamos o uso de uma esponja macia umedecida com água e sabão neutro, seguida de um pano seco.",0,68109900,0,0,0,FALSE,Não se aplica,TRUE,11.58,,,,,,draft
copo-cimento,Copo em cimento,,MART,"ACESSORIOS DE BANHEIRO,OUTLET 2025,HC,BEGE",TRUE,,Default Title-2,,,,,18356,36.7,,6,350,g,TRUE,,7908103783567,350,shopify,deny,manual,PC,OUTLET 2025,9.5 x 9 x 9,100% CIMENTO,,"Manter o produto em local seco e arejado. Quedas e batidas podem causar danos irreversíveis. Não utilizar produtos químicos ou abrasivos na limpeza. Para a remoção de sujeiras recomendamos o uso de uma esponja macia umedecida com água e sabão neutro, seguida de um pano seco. Evite o excesso de água, pois pode causar infiltrações e vazamentos. É comum que os produtos em cimento apresentem pequenos furos, aspecto envelhecido ou um leve esbranquiçado. Se tratam de características do produto, não de uma avaria. Outra particularidade bastante comum, é uma marcação que se assemelha a uma rachadura, isso ocorre por causa da forma de fechamento do produto no momento da confecção, portanto, não é um defeito.",0,68109900,0,0,0,FALSE,Não se aplica,TRUE,16.68,,,,,,draft
escultura-mulher-polirresina,Escultura mulher em polirresina,,MART,"ESCULTURAS,2025 CATALOGO ANUAL,QL,OFF WHITE",TRUE,,Default Title,,,,,18386,73.48,,2,345,g,TRUE,,7908103783864,345,shopify,deny,manual,PC,2025 CATALOGO ANUAL,19.5 x 6 x 7,100% POLIRRESINA,,"Para limpeza é recomendado o uso de um pano levemente umedecido com água e sabão neutro, seguido de um pano seco.Não é indicado o uso de produtos químicos ou abrasivos.",0,39264000,0,13,0,FALSE,Não se aplica,TRUE,33.4,,,,,,draft
escultura-mulher-polirresina,Escultura mulher em polirresina,,MART,"ESCULTURAS,2025 CATALOGO ANUAL,QL,OFF WHITE",TRUE,,Default Title-2,,,,,18385,73.48,,2,320,g,TRUE,,7908103783857,320,shopify,deny,manual,PC,2025 CATALOGO ANUAL,20 x 6 x 6.5,100% POLIRRESINA,,"Para limpeza é recomendado o uso de um pano levemente umedecido com água e sabão neutro, seguido de um pano seco.Não é indicado o uso de produtos químicos ou abrasivos.",0,39264000,0,13,0,FALSE,Não se aplica,TRUE,33.4,,,,,,draft
ampulheta-vidro-1-minuto,Ampulheta em vidro 1 minuto,,MART,"ADORNOS,2025 CATALOGO ANUAL,HG,PRETO",TRUE,,,,,,,18739-P,21.96,,4,25,g,TRUE,,7908103787404,25,shopify,deny,manual,PC,2025 CATALOGO ANUAL,6.5 x 3.5 x 3.5,80% VIDRO + 20% AREIA DE VIDRO,,"Limpe o produto utilizando uma esponja macia umedecida com água e sabão neutro. Após a limpeza, enxágue bem e seque utilizando papel descartável. Evite o uso de produtos químicos ou abrasivos, pois podem manchar ou riscar o produto.",0,70139900,0,9.75,0,FALSE,Não se aplica,TRUE,9.98,,,,,,draft
ampulheta-vidro-5-minutos,Ampulheta em vidro 5 minutos,,MART,"ADORNOS,2025 CATALOGO ANUAL,HG,PRETO",TRUE,,,,,,,18739-G,38.7,,4,65,g,TRUE,,7908103787428,65,shopify,deny,manual,PC,2025 CATALOGO ANUAL,10 x 5 x 5,80% VIDRO + 20% AREIA DE VIDRO,,"Limpe o produto utilizando uma esponja macia umedecida com água e sabão neutro. Após a limpeza, enxágue bem e seque utilizando papel descartável. Evite o uso de produtos químicos ou abrasivos, pois podem manchar ou riscar o produto.",0,70139900,0,9.75,0,FALSE,Não se aplica,TRUE,17.59,,,,,,draft
ampulheta-vidro-3-minutos,Ampulheta em vidro 3 minutos,,MART,"ADORNOS,2025 CATALOGO ANUAL,HG,PRETO",TRUE,,,,,,,18739-M,31.24,,4,40,g,TRUE,,7908103787411,40,shopify,deny,manual,PC,2025 CATALOGO ANUAL,8 x 4 x 4,80% VIDRO + 20% AREIA DE VIDRO,,"Limpe o produto utilizando uma esponja macia umedecida com água e sabão neutro. Após a limpeza, enxágue bem e seque utilizando papel descartável. Evite o uso de produtos químicos ou abrasivos, pois podem manchar ou riscar o produto.",0,70139900,0,9.75,0,FALSE,Não se aplica,TRUE,14.2,,,,,,draft
