Handle,Title,Vendor,Product Type,SKU,Barcode,Status,Published,Tags,Price,Compare At Price,Cost per item,Inventory Qty,Weight,Image Src,product.metafields.custom.unidade,product.metafields.custom.ncm,product.metafields.custom.cest,product.metafields.custom.cfop,product.metafields.custom.icms,product.metafields.custom.composicao
castical-metal,Castical em metal,MART,VELAS E ACESSORIOS,20390-M,7908103803920,active,TRUE,,93.85,,42.66,2.0,0.32,,PC,83062900,,5102,,"99,5% FERRO + 0,5% EVA_x000D_"
castical-metal,Castical em metal,MART,VELAS E ACESSORIOS,20390-P,7908103803913,active,TRUE,,65.96,,29.98,2.0,0.29,,PC,83062900,,5102,,"99,5% FERRO + 0,5% EVA_x000D_"
castical-metal,Castical em metal,MART,VELAS E ACESSORIOS,20390-G,7908103803937,active,TRUE,,116.2,,52.82,2.0,0.35,,PC,83062900,,5102,,"99,5% FERRO + 0,5% EVA_x000D_"
kit-cimento-banheiro-4-pcs,Kit em cimento para banheiro - 4 Pcs,MART,ACESSORIOS DE BANHEIRO,18357,7908103783574,active,TRUE,,276.03,,125.47,3.0,2.11,,KT,68109900,,5102,,100% CIMENTO
kit-cimento-banheiro-4-pcs,Kit em cimento para banheiro - 4 Pcs,MART,ACESSORIOS DE BANHEIRO,15718,7908103757186,active,TRUE,,303.64,,138.02,3.0,2.42,,KT,68109900,,5102,,100% CIMENTO
kit-polirresina-banheiro-2-pcs,Kit em polirresina para banheiro - 2 Pcs,MART,ACESSORIOS DE BANHEIRO,20612,7908103806129,active,TRUE,,128.72,,58.51,3.0,0.905,,KT,39264000,,5102,,90% POLIRRESINA + 10% PLÁSTICO
kit-polirresina-banheiro-3-pcs,Kit em polirresina para banheiro - 3 Pcs,MART,ACESSORIOS DE BANHEIRO,19184,7908103791845,active,TRUE,,211.57,,96.17,3.0,1.16,,KT,39264000,,5102,,100% POLIRRESINA
kit-polirresina-banheiro-3-pcs,Kit em polirresina para banheiro - 3 Pcs,MART,ACESSORIOS DE BANHEIRO,20604,7908103806044,active,TRUE,,276.03,,125.47,3.0,1.31,,KT,39264000,,5102,,90% POLIRRESINA + 10% PLÁSTICO
kit-polirresina-banheiro-3-pcs,Kit em polirresina para banheiro - 3 Pcs,MART,ACESSORIOS DE BANHEIRO,20822,7908103808222,active,TRUE,,257.62,,117.1,2.0,1.13,,KT,39264000,,5102,,100% POLIRRESINA
escultura-ourico-cimento,Escultura ourico em cimento,MART,ESCULTURAS,12222-2,7908103722245,active,TRUE,,41.43,,18.83,3.0,0.76,,PC,68109900,,5102,,100% CIMENTO
escultura-ourico-cimento,Escultura ourico em cimento,MART,ESCULTURAS,12222-3,7908103722252,active,TRUE,,41.43,,18.83,3.0,0.73,,PC,68109900,,5102,,100% CIMENTO
escultura-ourico-cimento,Escultura ourico em cimento,MART,ESCULTURAS,12222-1,7908103722238,active,TRUE,,41.43,,18.83,3.0,0.705,,PC,68109900,,5102,,100% CIMENTO
miniampulheta-vidro-3-minutos,Miniampulheta em vidro 3 minutos,MART,ADORNOS,19369-P,7908103793726,active,TRUE,,20.5,,9.32,4.0,0.04,,PC,70139900,,5102,,80% VIDRO + 20% AREIA DE VIDRO_x000D_
miniampulheta-vidro-7-minutos,Miniampulheta em vidro 7 minutos,MART,ADORNOS,19373-G,7908103793740,active,TRUE,,36.12,,16.42,4.0,0.115,,PC,70139900,,5102,,80% VIDRO + 20% AREIA DE VIDRO_x000D_
miniiampulheta-vidro-5-minutos,Miniiampulheta em vidro 5 minutos,MART,ADORNOS,19373-M,7908103793757,active,TRUE,,29.17,,13.26,4.0,0.085,,PC,70139900,,5102,,80% VIDRO + 20% AREIA DE VIDRO_x000D_
